,address,bookmarks,categories,district,link,location,price_range,title
0,藍田啓田道50號啓田商場2樓208號舖,2.2K,"['日本菜', '壽司/刺身']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E5%A3%BD%E5%8F%B8%E9%83%8E-%E8%97%8D%E7%94%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r684828,Kowloon,$101-200,壽司郎 Sushiro
1,藍田安田街23號平田商場地下G4號舖,1.9K,"['意大利菜', '薄餅']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E8%96%A9%E8%8E%89%E4%BA%9E%E6%84%8F%E5%BC%8F%E9%A4%90%E5%BB%B3-%E8%97%8D%E7%94%B0-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E8%96%84%E9%A4%85-r491606,Kowloon,$51-100,薩莉亞意式餐廳 (平田商場) Saizeriya Italian Restaurant (Ping Tin Shopping Centre)
2,藍田匯景道8號匯景商場5樓66號舖,1.6K,"['日本菜', '壽司/刺身']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E8%8A%9Dc-sushi-%E8%97%8D%E7%94%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r570811,Kowloon,$50以下,芝C Sushi (匯景商場)
3,藍田啟田道50號啟田商場2樓209號舖,1.5K,"['泰國菜', '少鹽少糖食店']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E8%8C%B6%E6%B3%B0-%E8%97%8D%E7%94%B0-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r658671,Kowloon,$51-100,茶泰 (啟田商場) Cha Thai (Kai Tin Shopping Centre)
4,藍田啟田道50號啟田商場2樓235號舖,1.5K,"['港式', '西式']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E6%84%8F%E5%85%AB%E9%A4%90%E5%BB%B3-%E8%97%8D%E7%94%B0-%E8%A5%BF%E5%BC%8F-r50136,Kowloon,$51-100,意八餐廳 ItaMoMo Cafe
5,藍田啟田道50號啟田商場3樓301號舖,1.5K,"['粵菜 (廣東)', '火鍋']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E6%B5%B7%E6%B8%AF%E9%85%92%E5%AE%B6-%E8%97%8D%E7%94%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r145432,Kowloon,$101-200,海港酒家 Victoria Harbour Restaurant
6,"藍田啟田道51-67號啟田大廈地下1A, 2-4及6A號舖",1.2K,"['粵菜 (廣東)', '燒臘']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E5%A4%A7%E5%A3%B9%E7%87%92%E9%B5%9D-%E8%97%8D%E7%94%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%87%92%E8%87%98-r699025,Kowloon,$51-100,大壹燒鵝 (啟田大廈) Kitchen One Roast Goose (Kai Tin Tower)
7,藍田匯景道8號匯景廣場5樓183-187D號舖,938,"['日本菜', '小食店']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E6%89%8B%E5%8D%B7%E5%B1%8B-%E8%97%8D%E7%94%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-r611415,Kowloon,$50以下,手卷屋
8,"藍田安田街23號平田商場2樓203, 205-208號舖",932,"['港式', '茶餐廳/冰室']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E7%99%BE%E4%BB%BD%E7%99%BE%E9%A4%90%E5%BB%B3-%E8%97%8D%E7%94%B0-%E6%B8%AF%E5%BC%8F-r145404,Kowloon,$51-100,百份百餐廳 (平田商場) Cafe 100% (Ping Tin Shopping Centre)
9,藍田啟田道50號啟田市場地下1087號舖,928,"['日本菜', '壽司/刺身']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E7%80%9B%E9%A2%A8-%E8%97%8D%E7%94%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r625517,Kowloon,$50以下,瀛風 (啟田市場) Ying Fung (Kai Tin Shopping Center)
10,藍田啟田道50號啟田商場地下啟田市場,892,"['港式', '燒烤']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E7%87%92%E6%B4%92%E4%B8%80%E6%97%8F-%E8%97%8D%E7%94%B0-%E6%B8%AF%E5%BC%8F-%E7%87%92%E7%83%A4-r586306,Kowloon,$50以下,燒洒一族 (啟田商場)
11,藍田茶果嶺道88號麗港城商場2樓S3D號舖,829,"['意大利菜', '薄餅']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E8%96%A9%E8%8E%89%E4%BA%9E%E6%84%8F%E5%BC%8F%E9%A4%90%E5%BB%B3-%E8%97%8D%E7%94%B0-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E8%96%84%E9%A4%85-r706641,Kowloon,$51-100,薩莉亞意式餐廳 (麗港城商場) Saizeriya Italian Restaurant (Laguna Plaza)
12,藍田啟田道50號啓田商場地下1A舖,764,"['日本菜', '拉麵']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E5%85%83%E7%A5%96%E5%92%8C%E9%A2%A8%E9%A3%9F%E5%A0%82%E8%99%8E%E8%97%8F-%E8%97%8D%E7%94%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E6%8B%89%E9%BA%B5-r606204,Kowloon,$51-100,元祖和風食堂虎藏
13,藍田啟田道50號啟田商場1樓116號舖,711,"['西式', '咖啡店']",Lam Tin,https://www.openrice.com/zh/hongkong/r-healman-coffee-%E8%97%8D%E7%94%B0-%E8%A5%BF%E5%BC%8F-r718865,Kowloon,$51-100,Healman Coffee
14,藍田啟田道50號啟田商場3樓303號舖,694,"['韓國菜', '少鹽少糖食店']",Lam Tin,https://www.openrice.com/zh/hongkong/r-%E9%9F%93%E6%A8%82-%E8%97%8D%E7%94%B0-%E9%9F%93%E5%9C%8B%E8%8F%9C-r704685,Kowloon,$51-100,韓樂 (啟田商場) Momoku (Kai Tin Shopping Centre)
15,彩虹彩虹村金碧樓 22 號地下,5.4K,"['粵菜 (廣東)', '中菜館']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E9%87%91%E7%A2%A7%E9%85%92%E6%A8%93-%E5%BD%A9%E8%99%B9-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r1575,Kowloon,$101-200,金碧酒樓 Kam Pik Restaurant
16,彩虹牛池灣貴池徑2號地下C號舖,5.3K,['台灣菜'],Choi Hung,https://www.openrice.com/zh/hongkong/r-%E4%B8%81%E7%88%B8%E9%A3%9F%E5%BA%9C-%E5%BD%A9%E8%99%B9-%E5%8F%B0%E7%81%A3%E8%8F%9C-r701447,Kowloon,$50以下,丁爸食府
17,彩虹龍池徑60號A地下,3.9K,"['粵菜 (廣東)', '燒臘']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%96%B0%E5%BF%97%E8%88%88%E8%87%B3%E5%B0%8A%E7%87%92%E9%B5%9D%E5%A4%A7%E7%8E%8B-%E5%BD%A9%E8%99%B9-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%87%92%E8%87%98-r137324,Kowloon,$50以下,新志興至尊燒鵝大王
18,彩虹牛池灣龍池徑67號B地舖,2.1K,"['粵菜 (廣東)', '點心']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%96%B0%E9%BE%8D%E5%9F%8E%E8%8C%B6%E6%A8%93-%E5%BD%A9%E8%99%B9-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r433308,Kowloon,$51-100,新龍城茶樓
19,彩虹青楊路11號彩虹邨金漢樓37號地舖,1.3K,"['港式', '茶餐廳/冰室']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E9%91%BD%E7%9F%B3%E5%86%B0%E5%AE%A4-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-r12751,Kowloon,$50以下,鑽石冰室 Diamond Cafe
20,彩虹清水灣道45號彩雲商場二期2樓A209號舖,1.2K,"['港式', '快餐店']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%84%8F%E6%A8%82%E9%A4%90%E5%BB%B3-%E5%BD%A9%E8%99%B9-%E8%A5%BF%E5%BC%8F-r165723,Kowloon,$51-100,意樂餐廳 (彩雲商場) Cafe de Itamomo (Cho Wan Commercial Complex)
